JD,vel,errvel,
2449680.6812,9.10999965668,4.8099999,
2450004.92871,-4.65000009537,2.02,
2450072.69629,-17.7000007629,1.8200001,
2450087.67871,14.279999733,1.8,
2450121.6268,-2.18000006676,2.54,
2450124.63205,-1.63999998569,2.4200001,
2450125.62523,-1.86000001431,2.1099999,
2450126.63115,2.52999997139,2.3,
2450127.65199,-0.0500000007451,2.47,
2450128.63309,-11.6000003815,2.03,
2450298.98878,4.40000009537,1.2,
2450300.00586,-1.17999994755,1.45,
2450300.88086,4.25,1.52,
2450304.91992,5.34999990463,1.5599999,
2450326.90723,11.7399997711,1.52,
2450421.67699,-0.340000003576,1.35,
2450437.72266,-10.3599996567,1.6999999,
2450441.69867,-9.89000034332,1.65,
2450640.97656,14.6899995804,1.91,
2450655.97363,11.0500001907,1.7500001,
2450656.92969,8.30000019073,1.66,
2450681.97363,-3.46000003815,1.71,
2450767.71973,12.3000001907,2.02,
2450793.70801,11.220000267,1.85,
2451046.93359,-5.01999998093,2.6400003,
2451130.69238,-24.1100006104,2.79,
2451175.62793,-5.82000017166,3.3600001,
2451825.74707,21.8400001526,3.0700002,
2451880.6694,2.09999990463,2.3399999,
2452120.89453,-18.5400009155,3.1000001,
2452128.9038,-3.73000001907,5.8300004,
2452157.84766,13.8599996567,2.23,
2452158.87793,9.09000015259,2.3900001,
2452159.84473,7.86999988556,2.05,
2452160.875,5.78000020981,2.74,
2452161.85611,10.029999733,1.9500002,
2452182.80649,-11.1800003052,2.4300001,
2452183.79324,-15.9399995804,2.52,
2452185.80208,-11.25,1.61,
2452186.80136,-15.5,1.6,
2452188.77539,-22.2800006866,4.0,
2452189.82781,-12.6300001144,1.7199999,
2452195.79265,19.6499996185,1.6800001,
2452200.82115,11.8699998856,1.6,
2452201.83126,12.9300003052,1.58,
2452202.7587,13.0100002289,1.76,
2452203.76232,16.0499992371,1.6899999,
2452204.76601,14.6400003433,1.5700002,
2452208.79105,-2.76999998093,1.2400001,
2452214.77958,14.0900001526,1.71,
2452216.73005,9.03999996185,1.65,
2452217.75488,4.65000009537,1.2,
2452218.75068,4.90999984741,1.5500001,
2452220.73356,0.769999980927,1.8300002,
2452221.79468,9.35999965668,2.24,
2452241.6383,-19.6499996185,1.26,
2452474.92167,3.02999997139,1.42,
2452475.92455,-0.75,1.59,
2452476.93617,-5.25,1.7199999,
2452477.93453,-2.59999990463,1.5599999,
2452478.91127,0.77999997139,1.29,
2452491.86725,-14.3400001526,1.29,
2452493.91758,-28.6800003052,1.2,
2452508.90855,3.78999996185,1.22,
2452509.8441,1.96000003815,1.23,
2452510.9452,9.84000015259,1.88,
2452511.96206,-3.28999996185,1.2400001,
2452512.93247,-1.36000001431,0.98,
2452513.93318,-0.379999995232,1.2999998,
2452514.91632,7.65999984741,1.4,
2452515.8695,10.529999733,1.5700002,
2452516.91632,5.94000005722,2.21,
2452520.88462,7.46000003815,1.4899999,
2452522.84178,14.5200004578,1.91,
2452523.87614,7.46000003815,1.34,
2452524.85481,8.65999984741,1.6700001,
2452534.86914,-14.0200004578,1.9399999,
2452535.89618,-12.529999733,1.28,
2452540.8717,-2.0,1.38,
2452551.82362,-13.5399999619,1.58,
2452552.81143,-10.7899999619,1.2999998,
2452553.7735,-7.88000011444,1.29,
2452554.76616,-6.51000022888,1.39,
2452576.76297,11.7299995422,1.3100001,
2452582.7883,2.55999994278,1.13,
2452583.74729,0.649999976158,1.38,
2452593.69983,5.25,1.2,
2452594.74403,1.23000001907,1.33,
2452597.68734,3.26999998093,1.2999998,
2452599.784,5.57999992371,1.33,
2452606.66747,4.80999994278,1.46,
2452608.73374,-5.13999986649,1.4299999,
2452612.63672,-19.9300003052,1.96,
2452613.63417,-13.25,1.08,
2452627.7479,-2.6400001049,1.1,
2452631.64049,13.4499998093,1.23,
2452893.9082,-4.46000003815,1.8599999,
2452894.90793,-3.76999998093,1.28,
2452895.89229,-10.2399997711,1.23,
2452896.82564,-15.7100000381,1.33,
2453010.64746,-5.19999980927,1.77,
2453219.9526,6.65999984741,1.8,
2453221.93579,-3.69000005722,1.5099999,
2453238.94465,-13.8699998856,2.6700001,
2453261.93454,13.4300003052,1.61,
2453263.90311,18.0400009155,1.6199999,
2453280.88867,-8.17000007629,1.9,
2453636.83134,-3.45000004768,1.85,
2453637.79304,7.36000013351,2.8900001,
2453744.64339,-24.3600006104,2.1300001,
2453755.60236,9.73999977112,2.0999999,
2453925.9782,-19.0599994659,1.84,
2453953.92045,5.80000019073,2.0,
2453954.88376,-2.98000001907,1.64,
2453958.93868,-2.09999990463,1.76,
2453963.90032,9.93999958038,1.91,
2453987.86296,-22.5,1.91,
2453988.79345,-24.2800006866,2.0699999,
2453989.83072,-22.1900005341,2.1600001,
2454046.75769,-14.5600004196,1.9800001,
2454047.69748,-10.4099998474,2.0699999,
2454071.67129,5.94999980927,1.7800001,
2454072.67066,-4.34000015259,1.88,
2454310.92818,5.84000015259,1.9399999,
2454337.83678,2.46000003815,1.4,
2454339.93207,-3.86999988556,1.74,
2454373.80859,0.409999996424,1.9399999,
2454425.69756,-22.5,1.8200001,
2454426.67767,-25.8799991608,2.0,
2454427.67433,-25.0300006866,1.9,
2454428.72856,-21.6700000763,1.87,
2454724.91275,-19.6200008392,1.33,
2454783.69219,-10.1599998474,1.9800001,
2454784.65048,-14.1700000763,2.03,
2454845.65051,-1.75,1.28,
2454846.64091,-0.610000014305,1.12,
2455438.88402,22.0,1.9,
2455844.77183,3.43000006676,2.3499999,
2455846.77088,-0.879999995232,2.1500001,
