JD,vel,errvel,
2451355.814795,-10736.00,4.00,
2451367.830021,-10662.00,12.00, 
2451375.760201,-10682.00,13.00, 
2451381.750648,-10741.00,7.00, 
2451384.720313,-10753.00,6.00, 
2451390.738894,-10656.00,7.00, 
2451392.646847,-10639.00,6.00, 
2451394.684897,-10640.00,7.00, 
2451398.728189,-10659.00,8.00, 
2451399.700985,-10667.00,7.00, 
2451400.692008,-10685.00,7.00, 
2451401.642891,-10703.00,7.00, 
2451402.709269,-10728.00,15.00, 
2451403.731085,-10737.00,10.00, 
2451404.652856,-10739.00,8.00, 
2451407.652090,-10747.00,11.00, 
2451408.638923,-10750.00,8.00, 
2451415.737748,-10630.00,13.00, 
2451416.649804,-10649.00,5.00, 
2451417.616162,-10644.00,5.00, 
2451418.648187,-10625.00,7.00, 
2451423.644434,-10646.00,5.00, 
2451431.702277,-10762.00,7.00, 
2451433.617802,-10751.00,6.00, 
2451435.578158,-10741.00,9.00, 
2451436.563670,-10704.00,8.00, 
2451437.558242,-10686.00,6.00, 
2451438.589061,-10678.00,5.00, 
2451439.578701,-10663.00,10.00, 
2451441.617916,-10634.00,7.00, 
2451442.601315,-10646.00,6.00, 
2451443.544670,-10625.00,6.00, 
2451444.598305,-10628.00,8.00, 
2451445.500816,-10625.00,12.00, 
2451445.567547,-10642.00,5.00, 
2451446.538281,-10650.00,8.00, 
2451447.637500,-10672.00,10.00, 
2451450.582598,-10724.00,7.00, 
2451451.593834,-10731.00,5.00, 
2451454.506436,-10755.00,11.00, 
2451455.500645,-10746.00,12.00, 
2451456.510396,-10741.00,11.00, 
2451456.525164,-10738.00,12.00, 
2451458.543541,-10770.00,7.00, 
2451460.566233,-10704.00,8.00, 
2451464.509627,-10661.00,6.00, 
2451480.545571,-10753.00,11.00, 
2451481.548543,-10739.00,9.00, 
2451482.509332,-10767.00,14.00, 
2451487.540488,-10665.00,10.00, 
2451488.533878,-10665.00,8.00, 
2451489.514319,-10639.00,10.00, 
2451492.528817,-10620.00,11.00, 
2451493.513020,-10619.00,11.00, 
2451494.510104,-10647.00,10.00, 
2451497.516160,-10672.00,12.00, 
2451501.527489,-10738.00,15.00, 
2451632.900498,-10662.00,6.00, 
2451635.880323,-10623.00,10.00, 
2451635.901609,-10651.00,8.00, 
2451638.892332,-10617.00,7.00, 
2451638.912611,-10634.00,6.00, 
2451640.891269,-10638.00,7.00, 
2451640.907197,-10640.00,6.00, 
2451641.898813,-10647.00,7.00, 
2451645.898571,-10710.00,6.00, 
2451692.899007,-10674.00,7.00, 
2451696.871596,-10751.00,8.00, 
2451699.894033,-10746.00,11.00, 
2451700.759547,-10736.00,7.00, 
2451701.883158,-10729.00,8.00, 
2451702.811441,-10719.00,10.00, 
2451749.758293,-10739.00,6.00, 
2451751.748764,-10735.00,7.00, 
2451752.831521,-10733.00,8.00, 
2451753.785607,-10697.00,7.00, 
2451755.609713,-10658.00,9.00, 
2451756.684211,-10647.00,8.00, 
2451757.644309,-10622.00,9.00, 
2451758.668133,-10638.00,9.00, 
2451759.749373,-10633.00,7.00, 
2451774.674217,-10721.00,8.00, 
2451777.645005,-10697.00,8.00, 
2451780.599102,-10639.00,15.00, 
2451782.691547,-10634.00,10.00, 
2451783.601344,-10634.00,9.00, 
2451784.587387,-10615.00,11.00, 
2451786.655597,-10620.00,7.00, 
2451788.657937,-10671.00,7.00, 
2451789.624691,-10678.00,6.00, 
2451790.548703,-10690.00,7.00, 
2451791.586226,-10710.00,6.00, 
2451792.620010,-10707.00,8.00, 
2451793.549007,-10742.00,9.00, 
2451794.584698,-10755.00,8.00, 
2451795.546271,-10754.00,7.00, 
2451802.608703,-10696.00,9.00, 
2451830.527909,-10645.00,8.00, 
2451837.567940,-10675.00,9.00, 
2451838.514912,-10680.00,8.00, 
2451844.522342,-10756.00,6.00, 
2451859.538465,-10620.00,11.00, 
2451993.889586,-10741.00,13.00, 
2451994.885095,-10708.00,10.00, 
2451995.883729,-10680.00,15.00, 
2451996.905017,-10688.00,7.00, 
2451997.891430,-10679.00,12.00, 
2452000.916073,-10639.00,11.00, 
2452005.898775,-10652.00,12.00, 
2452046.847439,-10678.00,11.00, 
2452049.896650,-10650.00,11.00, 
2452052.852097,-10645.00,13.00, 
2452054.932373,-10669.00,15.00, 
2452079.756010,-10639.00,10.00, 
2452086.824065,-10729.00,5.00, 
2452091.738542,-10730.00,6.00, 
2452094.745464,-10681.00,6.00, 
2452105.698104,-10653.00,5.00, 
2452145.668129,-10666.00,8.00, 
2452160.619908,-10723.00,6.00, 
2452161.634753,-10729.00,11.00, 
2452162.618834,-10746.00,5.00, 
2452167.581677,-10702.00,4.00, 
2452168.591571,-10683.00,6.00, 
2452169.619022,-10659.00,8.00, 
2452170.656193,-10661.00,6.00, 
2452171.584447,-10630.00,7.00, 
2452172.631916,-10647.00,6.00,
2452173.642661,-10641.00,5.00,
2452175.639314,-10641.00,8.00,
2452177.617597,-10652.00,8.00,
2452180.599174,-10695.00,7.00,
2452183.533005,-10731.00,9.00,
2452184.602730,-10734.00,6.00,
2452187.505756,-10747.00,5.00,
2452187.505756,-10747.00,5.00,
2452189.573805,-10727.00,5.00,
2452194.539796,-10650.00,4.00,
2452195.526211,-10649.00,4.00,
2452224.536314,-10636.00,4.00,
2452226.501689,-10654.00,7.00,
2452399.877237,-10697.00,4.00,
2452406.892322,-10744.00,5.00,
2452434.799636,-10688.00,5.00,
2452435.837774,-10688.00,7.00,
2452439.802744,-10615.00,6.00,
2452440.800132,-10602.00,5.00,
2452441.754566,-10610.00,6.00,
2452443.805811,-10626.00,6.00,
2452444.819156,-10633.00,5.00,
2452448.802684,-10692.00,5.00,
2452453.818657,-10726.00,4.00,
2452458.771238,-10696.00,4.00,
2452460.661609,-10663.00,5.00,
2452461.790051,-10636.00,6.00,
2452461.841025,-10635.00,5.00,
2452462.728404,-10631.00,5.00,
2452463.735566,-10618.00,4.00,
2452464.774891,-10619.00,5.00,
2452465.732720,-10618.00,4.00,
2452466.724738,-10615.00,6.00,
2452466.738245,-10606.00,6.00,
2452467.779013,-10627.00,5.00,
2452467.792648,-10624.00,5.00,
2452487.702588,-10640.00,9.00,
2452494.668169,-10645.00,7.00,
2452496.716824,-10674.00,5.00,
2452497.657638,-10691.00,4.00,
2452498.649699,-10709.00,4.00,
2452499.681863,-10717.00,4.00,
2452546.575570,-10704.00,7.00,
2452548.557269,-10700.00,5.00,
2452550.531685,-10724.00,5.00,
2452553.532491,-10714.00,12.00,
2452554.625416,-10713.00,5.00,
2452558.541907,-10672.00,5.00,
2452560.522063,-10671.00,5.00,
2452564.554910,-10611.00,5.00,
2452568.536274,-10654.00,6.00,
2452590.554966,-10635.00,5.00,
2452593.554379,-10687.00,6.00,
