JD,vel,errvel,
2451257.851949,-12427.00,9.00,
2451267.804863,-12487.00,9.00, 
2451267.816994,-12481.00,9.00, 
2451273.863068,-12524.00,9.00, 
2451287.711232,-12578.00,9.00, 
2451287.723373,-12594.00,9.00, 
2451291.770186,-12389.00,9.00, 
2451294.823783,-12482.00,15.00, 
2451295.762910,-12557.00,9.00, 
2451296.609373,-12598.00,10.00, 
2451296.835740,-12612.00,10.00, 
2451297.616669,-12612.00,10.00, 
2451297.827596,-12625.00,10.00, 
2451298.608975,-12597.00,10.00, 
2451298.830063,-12578.00,10.00, 
2451299.609242,-12544.00,9.00, 
2451299.828270,-12524.00,10.00, 
2451300.604276,-12473.00,9.00, 
2451300.826174,-12457.00,10.00, 
2451301.599332,-12423.00,10.00, 
2451301.818463,-12407.00,9.00, 
2451302.738563,-12421.00,12.00, 
2451304.744615,-12455.00,11.00, 
2451305.799571,-12527.00,10.00, 
2451306.700985,-12584.00,10.00, 
2451307.780069,-12655.00,14.00, 
2451307.792141,-12648.00,14.00, 
2451308.770079,-12657.00,10.00, 
2451308.782162,-12660.00,10.00, 
2451309.744705,-12578.00,11.00, 
2451309.756765,-12573.00,10.00, 
2451310.655743,-12513.00,10.00, 
2451310.667814,-12521.00,10.00, 
2451311.769368,-12475.00,34.00, 
2451312.712312,-12396.00,9.00, 
2451313.708089,-12403.00,9.00, 
2451314.713795,-12426.00,12.00, 
2451315.651318,-12480.00,24.00, 
2451316.703339,-12547.00,14.00, 
2451317.734653,-12607.00,11.00, 
2451318.713362,-12621.00,13.00, 
2451319.672326,-12599.00,9.00, 
2451320.734224,-12563.00,11.00, 
2451320.746295,-12566.00,11.00, 
2451335.680442,-12385.00,14.00, 
2451335.692513,-12404.00,14.00, 
2451336.599049,-12453.00,14.00, 
2451336.611097,-12442.00,13.00, 
2451339.653098,-12626.00,17.00, 
2451339.665123,-12648.00,17.00, 
2451340.650908,-12635.00,12.00, 
2451340.662956,-12635.00,12.00, 
2451342.625856,-12542.00,11.00, 
2451342.637881,-12526.00,10.00, 
2451355.649028,-12407.00,10.00, 
2451364.577082,-12483.00,11.00, 
2451366.582618,-12380.00,11.00, 
2451367.599441,-12402.00,11.00, 
2451368.570757,-12443.00,11.00, 
2451369.604695,-12485.00,15.00, 
2451369.616754,-12477.00,15.00, 
2451370.514789,-12533.00,15.00, 
2451370.526836,-12572.00,17.00, 
2451373.525459,-12592.00,27.00, 
2451373.537622,-12629.00,27.00, 
2451374.548434,-12524.00,18.00, 
2451374.560493,-12540.00,17.00, 
2451375.550681,-12479.00,11.00, 
2451375.562763,-12469.00,11.00, 
2451376.519401,-12468.00,21.00, 
2451376.531495,-12455.00,19.00, 
2451380.593008,-12507.00,15.00, 
2451380.605102,-12540.00,16.00, 
2451381.513595,-12572.00,9.00, 
2451381.525677,-12573.00,9.00, 
2451382.484546,-12611.00,10.00, 
2451382.496686,-12604.00,10.00, 
2451382.562363,-12609.00,11.00, 
2451382.574468,-12613.00,11.00, 
2451383.536115,-12597.00,10.00, 
2451383.546808,-12614.00,10.00, 
2451384.549319,-12597.00,9.00, 
2451384.561424,-12588.00,10.00, 
2451385.546216,-12514.00,10.00, 
2451385.558344,-12516.00,11.00, 
2451386.543368,-12440.00,10.00, 
2451386.555450,-12452.00,11.00, 
2451388.531502,-12394.00,14.00, 
2451388.543619,-12381.00,14.00, 
2451389.496805,-12399.00,14.00, 
2451389.508910,-12405.00,12.00, 
2451390.467338,-12453.00,11.00, 
2451390.479444,-12445.00,11.00, 
2451391.468135,-12521.00,9.00, 
2451391.480298,-12515.00,9.00, 
2451392.529921,-12574.00,9.00, 
2451392.541957,-12564.00,10.00, 
2451393.517664,-12606.00,10.00, 
2451393.529711,-12617.00,10.00, 
2451394.472076,-12594.00,11.00, 
2451394.484100,-12604.00,11.00, 
2451395.470535,-12551.00,17.00, 
2451395.482501,-12568.00,11.00, 
2451397.471446,-12438.00,20.00, 
2451397.489210,-12436.00,15.00, 
2451398.470623,-12398.00,9.00, 
2451398.482577,-12405.00,9.00, 
2451399.472010,-12387.00,10.00, 
2451400.489819,-12408.00,10.00, 
2451401.467240,-12463.00,11.00, 
2451402.480582,-12527.00,17.00, 
2451403.473870,-12578.00,12.00, 
2451404.472388,-12635.00,12.00, 
2451405.473187,-12572.00,22.00, 
2451406.482665,-12532.00,21.00, 
2451412.481415,-12498.00,11.00, 
2451412.493451,-12491.00,11.00, 
2451424.492425,-12587.00,20.00,
